"","X","DRUG","CName","PName","cc_predict...2.","cc_real...2.","Acta_Normal"
"34",32,"17-AAG","WM115_SKIN","WM-115",1.21979408398046,1.47490831213543,1.47490831213543
"35",33,"17-AAG","X1321N1_CENTRAL_NERVOUS_SYSTEM","1321N1",1.23160246825091,1.00633849113635,1.00633849113635
"36",1,"AEW541","A375_SKIN","A-375",-0.372822302475525,-0.0179618721256186,-0.0179618721256186
"37",2,"AEW541","AN3CA_ENDOMETRIUM","AN3 CA",-0.347249271674889,-0.728911024246816,-0.728911024246816
"38",3,"AEW541","BCPAP_THYROID","B-CPAP",-0.353896963001995,-0.103309443169952,-0.103309443169952
"39",4,"AEW541","C32_SKIN","C32",-0.356763417370682,-0.427410044897486,-0.427410044897486
"40",5,"AEW541","CAKI2_KIDNEY","Caki-2",-0.366840654163003,-0.213393563636847,-0.213393563636847
"41",6,"AEW541","COLO320_LARGE_INTESTINE","COLO-320",-0.33143544415407,0.377045854255591,0.377045854255591
"42",7,"AEW541","COLO679_SKIN","COLO-679",-0.354774753589837,-0.350545426665601,-0.350545426665601
"43",8,"AEW541","DMS114_LUNG","DMS 114",-0.348082053404918,0.585169597303003,0.585169597303003
"44",9,"AEW541","FUOV1_OVARY","FU-OV-1",-0.364714705243902,0.423475450946629,0.423475450946629
"45",10,"AEW541","GAMG_CENTRAL_NERVOUS_SYSTEM","GAMG",-0.385457425912405,-0.638901066923885,-0.638901066923885
"46",11,"AEW541","HCC1395_BREAST","HCC1395",-0.372254408828059,-0.497022062251552,-0.497022062251552
"47",12,"AEW541","HCC1806_BREAST","HCC1806",-0.355931160944176,-0.308260173333318,-0.308260173333318
"48",13,"AEW541","HCC4006_LUNG","HCC4006",-0.367096880432996,-0.430194525591649,-0.430194525591649
"49",14,"AEW541","HCC56_LARGE_INTESTINE","HCC-56",-0.331182126135962,-0.545200053797063,-0.545200053797063
"50",15,"AEW541","HCC827_LUNG","HCC827",-0.380707234038868,-0.431942920446123,-0.431942920446123
"51",16,"AEW541","HEC251_ENDOMETRIUM","HEC-251",-0.363332612982384,-0.390499486858586,-0.390499486858586
"52",17,"AEW541","HEC265_ENDOMETRIUM","HEC-265",-0.36754426912492,-0.829281839966632,-0.829281839966632
"53",18,"AEW541","HLE_LIVER","HLE",-0.370055194955085,-0.661889221491972,-0.661889221491972
"54",19,"AEW541","HS939T_SKIN","Hs 939.T",-0.372583693801453,-0.905265785234781,-0.905265785234781
"55",20,"AEW541","HUH1_LIVER","huH-1",-0.341080592448272,-0.0254734944633596,-0.0254734944633596
"56",21,"AEW541","IPC298_SKIN","IPC-298",-0.359562291148064,-0.320952224869501,-0.320952224869501
"57",22,"AEW541","J82_URINARY_TRACT","J82",-0.385377813196409,-0.60509876640405,-0.60509876640405
"58",23,"AEW541","JHOS4_OVARY","JHOS-4",-0.360598429215446,0.0471820250447908,0.0471820250447908
"59",24,"AEW541","JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","JM1",-0.297641290511575,-0.771584809768983,-0.771584809768983
"60",25,"AEW541","KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KARPAS-422",-0.274221472083149,-0.0285817519824249,-0.0285817519824249
"61",26,"AEW541","KCIMOH1_PANCREAS","KCI-MOH1",-0.356963815003776,0.0447213211755308,0.0447213211755308
"62",27,"AEW541","KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KE-97",-0.29973641358907,-0.536393324159712,-0.536393324159712
"63",28,"AEW541","KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KMS-12-BM",-0.305652107152667,0.60699215530144,0.60699215530144
"64",29,"AEW541","KNS60_CENTRAL_NERVOUS_SYSTEM","KNS-60",-0.376228922169142,-0.396003692881931,-0.396003692881931
"65",30,"AEW541","KYM1_SOFT_TISSUE","KYM-1",-0.320173143117895,0.055211690302376,0.055211690302376
"66",31,"AEW541","L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","L-428",-0.310524813592825,-0.579844174061645,-0.579844174061645
"67",32,"AEW541","LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","LP-1",-0.301138784878578,0.908946422205634,0.908946422205634
"68",33,"AEW541","MALME3M_SKIN","Malme-3M",-0.347055047718077,0.038958093692264,0.038958093692264
"69",34,"AEW541","MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Mino",-0.295086709253088,-0.592147693407945,-0.592147693407945
"70",35,"AEW541","MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","MOLT-16",-0.283483228324611,0.0373392095677509,0.0373392095677509
"71",36,"AEW541","NCIH1048_LUNG","NCI-H1048",-0.348576117276918,-0.439130765958961,-0.439130765958961
"72",37,"AEW541","NCIH1694_LUNG","NCI-H1694",-0.307331910797988,-0.406040774453912,-0.406040774453912
"73",38,"AEW541","NCIH2122_LUNG","NCI-H2122",-0.357253592605148,0.151438162663438,0.151438162663438
"74",39,"AEW541","NCIH650_LUNG","NCI-H650",-0.360656776196365,-0.447419452676469,-0.447419452676469
"75",40,"AEW541","OVSAHO_OVARY","OVSAHO",-0.356284568844995,-0.677560019817259,-0.677560019817259
"76",41,"AEW541","PANC0403_PANCREAS","Panc 04.03",-0.370390469954875,-0.499677032215753,-0.499677032215753
"77",42,"AEW541","RERFGC1B_STOMACH","RERF-GC-1B",-0.357222134906459,0.0373392095677509,0.0373392095677509
"78",43,"AEW541","SF295_CENTRAL_NERVOUS_SYSTEM","SF-295",-0.382249494105708,-0.356373409513849,-0.356373409513849
"79",44,"AEW541","SHP77_LUNG","SHP-77",-0.317065882635995,-0.845988724131608,-0.845988724131608
"80",45,"AEW541","SIMA_AUTONOMIC_GANGLIA","SIMA",-0.294477870811688,0.916522799908356,0.916522799908356
"81",46,"AEW541","SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SU-DHL-10",-0.27220390971256,-0.295891898622037,-0.295891898622037
"82",47,"AEW541","SUIT2_PANCREAS","SUIT-2",-0.365233917145217,-0.365762937436025,-0.365762937436025
"83",48,"AEW541","SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SUP-T1",-0.303115610497956,-0.399759504050801,-0.399759504050801
"84",49,"AEW541","SW1353_BONE","SW 1353",-0.372063266083473,-0.488798130899025,-0.488798130899025
"85",50,"AEW541","SW1990_PANCREAS","SW 1990",-0.38052488123752,-0.278731726902198,-0.278731726902198
"86",51,"AEW541","X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","697",-0.300242182779535,0.188024943877435,0.188024943877435
"87",1,"AZD0530","AU565_BREAST","AU565",-0.386643139215401,-0.805128088828896,-0.805128088828896
"88",2,"AZD0530","AZ521_STOMACH","AZ-521",-0.426552246605063,0.453068652742729,0.453068652742729
"89",3,"AZD0530","BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","BDCM",-0.461456623651187,0.280430849704646,0.280430849704646
"90",4,"AZD0530","C2BBE1_LARGE_INTESTINE","C2BBe1",-0.385316961580771,0.379053270569988,0.379053270569988
"91",5,"AZD0530","CAL12T_LUNG","CAL-12T",-0.366938321449118,0.262623124335002,0.262623124335002
"92",6,"AZD0530","CHL1_SKIN","CHL-1",-0.432499346868317,-0.21876825893023,-0.21876825893023
"93",7,"AZD0530","CORL105_LUNG","COR-L105",-0.378863779710503,-0.458039332533275,-0.458039332533275
"94",8,"AZD0530","CORL23_LUNG","COR-L23",-0.375627116684735,-0.808754389267805,-0.808754389267805
"95",9,"AZD0530","DKMG_CENTRAL_NERVOUS_SYSTEM","DK-MG",-0.45404137719073,-0.731695504940979,-0.731695504940979
"96",10,"AZD0530","ES2_OVARY","ES-2",-0.414666221927414,-0.919842217891898,-0.919842217891898
"97",11,"AZD0530","G402_SOFT_TISSUE","G-402",-0.432356679709414,-0.0158897004462417,-0.0158897004462417
"98",12,"AZD0530","H4_CENTRAL_NERVOUS_SYSTEM","H4",-0.411338011723922,-0.520398749009522,-0.520398749009522
"99",13,"AZD0530","HCC1395_BREAST","HCC1395",-0.405342037832951,0.27097656641749,0.27097656641749
"100",14,"AZD0530","HCC2935_LUNG","HCC2935",-0.373663880194394,0.48635291034272,0.48635291034272
"101",15,"AZD0530","HCC70_BREAST","HCC70",-0.374299250549857,-0.586125444464756,-0.586125444464756
"102",16,"AZD0530","HCC78_LUNG","HCC-78",-0.364432855688644,-0.703397410444489,-0.703397410444489
"103",17,"AZD0530","HEC265_ENDOMETRIUM","HEC-265",-0.375232412418706,-0.842491934422659,-0.842491934422659
"104",18,"AZD0530","HEC59_ENDOMETRIUM","HEC-59",-0.402061885252544,-0.926376034218433,-0.926376034218433
"105",19,"AZD0530","HLE_LIVER","HLE",-0.41444818447084,-0.494237581557389,-0.494237581557389
"106",20,"AZD0530","HS739T_BREAST","Hs 739.T",-0.434554447677931,0.0894672783770745,0.0894672783770745
"107",21,"AZD0530","IALM_LUNG","IA-LM",-0.399140104704543,-0.737912019979109,-0.737912019979109
"108",22,"AZD0530","JHH2_LIVER","JHH-2",-0.413064585823137,0.120549853567727,0.120549853567727
"109",23,"AZD0530","JMSU1_URINARY_TRACT","JMSU-1",-0.40517069840356,-0.552387899309902,-0.552387899309902
"110",24,"AZD0530","JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","JVM-3",-0.470679267562354,0.0221216987973272,0.0221216987973272
"111",25,"AZD0530","KALS1_CENTRAL_NERVOUS_SYSTEM","KALS-1",-0.41803920081567,-0.208795932723229,-0.208795932723229
"112",26,"AZD0530","KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KMM-1",-0.447946868037029,-0.461924654432107,-0.461924654432107
"113",27,"AZD0530","KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KO52",-0.465221959912999,-0.646088912436723,-0.646088912436723
"114",28,"AZD0530","KYSE450_OESOPHAGUS","KYSE-450",-0.38301171763744,-0.0316900095014901,-0.0316900095014901
"115",29,"AZD0530","KYSE510_OESOPHAGUS","KYSE-510",-0.365234642601836,-0.730529908371329,-0.730529908371329
"116",30,"AZD0530","L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","L-363",-0.462562075235975,-0.0235308335139439,-0.0235308335139439
"117",31,"AZD0530","LN18_CENTRAL_NERVOUS_SYSTEM","LN-18",-0.409754466861249,-0.501166405610305,-0.501166405610305
"118",32,"AZD0530","LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","LP-1",-0.463808651607573,-0.682287161460837,-0.682287161460837
"119",33,"AZD0530","LS411N_LARGE_INTESTINE","LS411N",-0.379712113376291,-0.776376706777542,-0.776376706777542
"120",34,"AZD0530","MCF7_BREAST","MCF7",-0.395842625712148,-0.933499124366291,-0.933499124366291
"121",35,"AZD0530","MDAMB435S_SKIN","MDA-MB-435S",-0.418268489741877,-0.322506353629034,-0.322506353629034
"122",36,"AZD0530","MFE296_ENDOMETRIUM","MFE-296",-0.411630110756803,-0.222912602288984,-0.222912602288984
"123",37,"AZD0530","MFE319_ENDOMETRIUM","MFE-319",-0.385699189716791,0.563023262479663,0.563023262479663
"124",38,"AZD0530","MORCPR_LUNG","MOR/CPR",-0.38101153808386,-0.708772105737873,-0.708772105737873
"125",39,"AZD0530","NCIH1299_LUNG","NCI-H1299",-0.406943696758599,0.0067746772969424,0.0067746772969424
"126",40,"AZD0530","NCIH1341_LUNG","NCI-H1341",-0.422991809221379,-0.19655716874191,-0.19655716874191
"127",41,"AZD0530","NCIH1792_LUNG","NCI-H1792",-0.395261871532882,-0.745876929871714,-0.745876929871714
"128",42,"AZD0530","NCIH2087_LUNG","NCI-H2087",-0.370322890443528,-0.476624122282686,-0.476624122282686
"129",43,"AZD0530","NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","NCO2",-0.456392595136291,1.80114584090732,1.80114584090732
"130",44,"AZD0530","NIHOVCAR3_OVARY","NIH:OVCAR-3",-0.386824241343654,0.483115142093693,0.483115142093693
"131",45,"AZD0530","PANC0203_PANCREAS","Panc 02.03",-0.359888567959348,0.124888463021422,0.124888463021422
"132",46,"AZD0530","PC3_PROSTATE","PC-3",-0.379522989178775,0.126766368605858,0.126766368605858
"133",47,"AZD0530","PL45_PANCREAS","PL45",-0.358606295341294,-0.173763280268765,-0.173763280268765
"134",48,"AZD0530","RL952_ENDOMETRIUM","RL95-2",-0.376961897017539,0.142178145471223,0.142178145471223
"135",49,"AZD0530","RPMI7951_SKIN","RPMI-7951",-0.416458677197382,-0.433626559935617,-0.433626559935617
"136",50,"AZD0530","RT4_URINARY_TRACT","RT4",-0.378610468697537,1.35368626889189,1.35368626889189
"137",51,"AZD0530","SF295_CENTRAL_NERVOUS_SYSTEM","SF-295",-0.409557153995526,-0.680214989781461,-0.680214989781461
"138",52,"AZD0530","SH10TC_STOMACH","SH-10-TC",-0.398414874244951,-0.660658869557342,-0.660658869557342
"139",53,"AZD0530","SKES1_BONE","SK-ES-1",-0.456339029245184,-0.28274655953099,-0.28274655953099
"140",54,"AZD0530","SNU1_STOMACH","SNU-1",-0.426121112451048,-0.561259384312234,-0.561259384312234
"141",55,"AZD0530","SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SU-DHL-10",-0.487796762394722,-0.637800225719216,-0.637800225719216
"142",56,"AZD0530","SW1271_LUNG","SW 1271",-0.401699388295369,-0.109137426018199,-0.109137426018199
"143",57,"AZD0530","SW480_LARGE_INTESTINE","SW480",-0.383447594399166,-0.881215642681014,-0.881215642681014
"144",58,"AZD0530","TE1_OESOPHAGUS","TE-1",-0.371935747993098,-0.279767812741886,-0.279767812741886
"145",59,"AZD0530","TT2609C02_THYROID","TT2609-C02",-0.399485498886498,-0.0665931512259938,-0.0665931512259938
"146",60,"AZD0530","UACC62_SKIN","UACC-62",-0.427650795611848,-0.276400533762899,-0.276400533762899
"147",61,"AZD0530","WM793_SKIN","WM-793",-0.421743630286884,-0.385319057660144,-0.385319057660144
"148",62,"AZD0530","WM983B_SKIN","WM-983B",-0.424587046381875,0.638463262681976,0.638463262681976
"149",63,"AZD0530","X5637_URINARY_TRACT","5637",-0.376311738692431,-0.406040774453912,-0.406040774453912
"150",1,"AZD6244","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","BL-70",-0.25928683472076,-0.882705016075566,-0.882705016075566
"151",2,"AZD6244","CALU6_LUNG","Calu-6",-0.274622873275159,0.0793006860751319,0.0793006860751319
"152",3,"AZD6244","CHL1_SKIN","CHL-1",-0.278099226956535,-0.484589032175291,-0.484589032175291
"153",4,"AZD6244","CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CMK-86",-0.254592770460263,0.0767104714759108,0.0767104714759108
"154",5,"AZD6244","DETROIT562_UPPER_AERODIGESTIVE_TRACT","Detroit 562",-0.260559765083087,-0.302043658295187,-0.302043658295187
"155",6,"AZD6244","EFE184_ENDOMETRIUM","EFE-184",-0.2671468462857,-0.216566576520893,-0.216566576520893
"156",7,"AZD6244","EFO21_OVARY","EFO-21",-0.268895951145665,-0.408566233688153,-0.408566233688153
"157",8,"AZD6244","G402_SOFT_TISSUE","G-402",-0.278506933754986,-0.915011467664351,-0.915011467664351
"158",9,"AZD6244","HCC2935_LUNG","HCC2935",-0.247809589935254,-0.480120911991634,-0.480120911991634
"159",10,"AZD6244","HCC70_BREAST","HCC70",-0.249182035570709,-0.162172069937251,-0.162172069937251
"160",11,"AZD6244","HCC78_LUNG","HCC-78",-0.254762667968948,-0.855831539608648,-0.855831539608648
"161",12,"AZD6244","HGC27_STOMACH","HGC-27",-0.282050682020806,-0.902559010978595,-0.902559010978595
"162",13,"AZD6244","HOS_BONE","HOS",-0.29036021918447,-0.706052380408691,-0.706052380408691
"163",14,"AZD6244","HT29_LARGE_INTESTINE","HT-29",-0.239375884507676,1.73017396088867,1.73017396088867
"164",15,"AZD6244","HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","HuT 78",-0.260190227032325,1.77712160049955,1.77712160049955
"165",16,"AZD6244","ISTMES1_PLEURA","IST-MES1",-0.285761426794488,-0.668105736530102,-0.668105736530102
"166",17,"AZD6244","KCIMOH1_PANCREAS","KCI-MOH1",-0.246554494728258,0.299080394819038,0.299080394819038
"167",18,"AZD6244","KYSE70_OESOPHAGUS","KYSE-70",-0.265513671799003,-0.0573331340337786,-0.0573331340337786
"168",19,"AZD6244","LOXIMVI_SKIN","LOX IMVI",-0.281067674655693,0.625188412860968,0.625188412860968
"169",20,"AZD6244","MALME3M_SKIN","Malme-3M",-0.265642321668752,2.25948431423949,2.25948431423949
"170",21,"AZD6244","MDAMB435S_SKIN","MDA-MB-435S",-0.277073513670681,1.00478436237681,1.00478436237681
"171",22,"AZD6244","MORCPR_LUNG","MOR/CPR",-0.254260603105859,-0.835563110369743,-0.835563110369743
"172",23,"AZD6244","NCIH1869_LUNG","NCI-H1869",-0.251744826082263,-0.900201915693304,-0.900201915693304
"173",24,"AZD6244","RT112_URINARY_TRACT","RT-112",-0.251556779310173,0.120744119662669,0.120744119662669
"174",25,"AZD6244","RT4_URINARY_TRACT","RT4",-0.249983853002682,0.0818909006743529,0.0818909006743529
"175",26,"AZD6244","SAOS2_BONE","Saos-2",-0.291318886201469,-0.811085582407104,-0.811085582407104
"176",27,"AZD6244","SKMEL31_SKIN","SK-MEL-31",-0.275240960757391,-0.376641838752753,-0.376641838752753
"177",28,"AZD6244","SUIT2_PANCREAS","SUIT-2",-0.262351924581137,0.389867416521736,0.389867416521736
"178",29,"AZD6244","SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SUP-M2",-0.258476637237075,-0.291747555263283,-0.291747555263283
"179",30,"AZD6244","SW900_LUNG","SW 900",-0.267941638874646,-0.759216535057702,-0.759216535057702
"180",31,"AZD6244","X769P_KIDNEY","769-P",-0.275073623463915,-0.549150131060875,-0.549150131060875
"181",1,"Erlotinib","A2058_SKIN","A2058",-0.683681938131893,-0.955878578503561,-0.955878578503561
"182",2,"Erlotinib","A549_LUNG","A549",-0.660487311274527,-0.639613375938671,-0.639613375938671
"183",3,"Erlotinib","AU565_BREAST","AU565",-0.615892027877495,-0.637929736449177,-0.637929736449177
"184",4,"Erlotinib","BXPC3_PANCREAS","BxPC-3",-0.617508078256737,-0.482711126590855,-0.482711126590855
"185",5,"Erlotinib","CAL12T_LUNG","CAL-12T",-0.627544251953593,0.193334883805839,0.193334883805839
"186",6,"Erlotinib","ES2_OVARY","ES-2",-0.683060462968288,-0.893039972326458,-0.893039972326458
"187",7,"Erlotinib","GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","GRANTA-519",-0.626440204863089,-0.710520500592347,-0.710520500592347
"188",8,"Erlotinib","HCC827_LUNG","HCC827",-0.640185850392166,1.90190518881702,1.90190518881702
"189",9,"Erlotinib","HCT116_LARGE_INTESTINE","HCT 116",-0.636683164696522,-0.814452861386092,-0.814452861386092
"190",10,"Erlotinib","HDQP1_BREAST","HDQ-P1",-0.63042502958202,0.104425767687576,0.104425767687576
"191",11,"Erlotinib","HS729_SOFT_TISSUE","Hs 729",-0.696391086784521,-0.873898286438215,-0.873898286438215
"192",12,"Erlotinib","HS852T_SKIN","Hs 852.T",-0.688952916153717,-0.82410141076819,-0.82410141076819
"193",13,"Erlotinib","HS895T_SKIN","Hs 895.T",-0.700621380364627,-0.647966818021158,-0.647966818021158
"194",14,"Erlotinib","J82_URINARY_TRACT","J82",-0.671261692233787,-0.721075625084173,-0.721075625084173
"195",15,"Erlotinib","JHH4_LIVER","JHH-4",-0.664049933860229,-0.646801221451509,-0.646801221451509
"196",16,"Erlotinib","JHOS4_OVARY","JHOS-4",-0.632386248596436,-0.315124242021253,-0.315124242021253
"197",17,"Erlotinib","JMSU1_URINARY_TRACT","JMSU-1",-0.671042500928229,-0.280739143216594,-0.280739143216594
"198",18,"Erlotinib","KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KMM-1",-0.642099659708199,-0.799105839885707,-0.799105839885707
"199",19,"Erlotinib","KMRC2_KIDNEY","KMRC-2",-0.671021496476885,-0.628863985351903,-0.628863985351903
"200",20,"Erlotinib","KNS81_CENTRAL_NERVOUS_SYSTEM","KNS-81",-0.695492578961733,-0.612092345821947,-0.612092345821947
"201",21,"Erlotinib","KYM1_SOFT_TISSUE","KYM-1",-0.666887789054153,-0.771649565133964,-0.771649565133964
"202",22,"Erlotinib","LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","LP-1",-0.639594118631077,-0.955878578503561,-0.955878578503561
"203",23,"Erlotinib","LS411N_LARGE_INTESTINE","LS411N",-0.611005726131394,-0.709549170117639,-0.709549170117639
"204",24,"Erlotinib","MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","MC116",-0.623994849998336,-0.955544246554166,-0.955544246554166
"205",25,"Erlotinib","MDAMB436_BREAST","MDA-MB-436",-0.672831096608398,-0.679049393211811,-0.679049393211811
"206",26,"Erlotinib","MEWO_SKIN","MeWo",-0.677288197631489,-0.953991607168028,-0.953991607168028
"207",27,"Erlotinib","MHHES1_BONE","MHH-ES-1",-0.674616794033112,-0.191247228813507,-0.191247228813507
"208",28,"Erlotinib","MSTO211H_PLEURA","MSTO-211H",-0.675525330730888,-0.749697496405565,-0.749697496405565
"209",29,"Erlotinib","NCIH1299_LUNG","NCI-H1299",-0.670451309673092,-0.494755624477233,-0.494755624477233
"210",30,"Erlotinib","NCIH1339_LUNG","NCI-H1339",-0.67227568268041,-0.884518166295021,-0.884518166295021
"211",31,"Erlotinib","NCIH1915_LUNG","NCI-H1915",-0.666660903604829,-0.681056809526207,-0.681056809526207
"212",32,"Erlotinib","NCIH1975_LUNG","NCI-H1975",-0.650445704365184,-0.656644036928549,-0.656644036928549
"213",33,"Erlotinib","NCIH2023_LUNG","NCI-H2023",-0.653500859729496,-0.841650114677913,-0.841650114677913
"214",34,"Erlotinib","NCIH2444_LUNG","NCI-H2444",-0.641320886428022,-0.689669273068617,-0.689669273068617
"215",35,"Erlotinib","NCIH322_LUNG","NCI-H322",-0.62904599361837,0.322780858401911,0.322780858401911
"216",36,"Erlotinib","NCIH727_LUNG","NCI-H727",-0.63446736762089,-0.749244208850702,-0.749244208850702
"217",37,"Erlotinib","OC314_OVARY","OC 314",-0.651095972543806,-0.767893753965093,-0.767893753965093
"218",38,"Erlotinib","PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Pfeiffer",-0.623900531344349,-0.197593254581598,-0.197593254581598
"219",39,"Erlotinib","PK1_PANCREAS","PK-1",-0.623210034404881,-0.592341959502886,-0.592341959502886
"220",40,"Erlotinib","RT4_URINARY_TRACT","RT4",-0.61813168795496,0.124435175466559,0.124435175466559
"221",41,"Erlotinib","SKLU1_LUNG","SK-LU-1",-0.672083710049284,-0.607948002463193,-0.607948002463193
"222",42,"Erlotinib","SKOV3_OVARY","SK-OV-3",-0.658149439044354,-0.557827349968266,-0.557827349968266
"223",43,"Erlotinib","SNU423_LIVER","SNU-423",-0.683757992378665,-0.955878578503561,-0.955878578503561
"224",44,"Erlotinib","SW1573_LUNG","SW 1573",-0.665005617151126,-0.732731590780667,-0.732731590780667
"225",45,"Erlotinib","T98G_CENTRAL_NERVOUS_SYSTEM","T98G",-0.686849209283511,-0.611833324362025,-0.611833324362025
"226",46,"Erlotinib","TOV21G_OVARY","TOV-21G",-0.661084792746179,-0.38234031087104,-0.38234031087104
"227",47,"Erlotinib","UACC62_SKIN","UACC-62",-0.690038927441233,-0.510814954992404,-0.510814954992404
"228",1,"Irinotecan","AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AMO-1",1.16128201951725,1.46156870694945,1.46156870694945
